stop_name,lat,lon,Zip_Codes
Rio Grande/15th,30.278965999999997,-97.746339,78701
8740 Lamar/Payton Gin,30.356809000000002,-97.701066,78753
Fairfield Station (SB),30.355296000000003,-97.703128,78753
Lamar/Thurmond,30.353139000000002,-97.706082,78753
8320 Lamar/Meadowlark,30.352256,-97.707295,78753
7720 Lamar/Stobaugh,30.346044,-97.713966,78757
7520 Lamar/Morrow,30.343163,-97.715653,78752
6814 Lamar/Justin,30.336204,-97.72000600000001,78757
6600 Lamar/Brentwood,30.334109,-97.721322,78757
6200 Lamar/Denson,30.330425,-97.723636,78752
5528 Lamar/Koenig,30.324246999999996,-97.727528,78751
5106 Lamar/51st,30.319051,-97.730805,78751
Triangle Station (SB),30.314629999999998,-97.732523,78751
4500 Guadalupe/45th,30.311163,-97.732958,78751
Guadalupe/43rd Street,30.308831,-97.73439499999999,78751
Guadalupe/41st Street,30.306703000000002,-97.73575600000001,78751
Guadalupe/Maiden,30.301674,-97.73895999999999,78705
Guadalupe/34th Street,30.300456,-97.73970899999999,78705
Guadalupe/27th Street,30.292196999999998,-97.74131,78705
UT West Mall Station (SB),30.286064,-97.741815,78705
Guadalupe/W. 21st Street,30.283384,-97.742081,78705
Guadalupe/16th Street,30.278962,-97.742708,78701
11th/Congress,30.2727,-97.741376,78701
612 Congress/Riverside,30.255384999999997,-97.747685,78704
2020 Congress/Crockett,30.243058,-97.752263,78704
2300 Congress/College,30.240333000000003,-97.752905,78704
2622 Congress/Cumberland,30.235695,-97.756374,78704
2918 Congress/La Vista,30.232590000000002,-97.75853000000001,78704
Congress/Pickle,30.226896000000004,-97.761935,78704
4210 Congress/Radam,30.220763,-97.765411,78745
4722 Congress/Sheraton,30.214747999999997,-97.76923199999999,78745
5300 Congress/Ramble,30.208685,-97.773108,78745
6220 Congress/North Bluff,30.199040999999998,-97.776595,78745
115 William Cannon/Circle S,30.192664,-97.77784100000001,78745
409 William Cannon/Circle S,30.192082,-97.776037,78745
601 William Cannon/Circle S,30.191387,-97.77353000000001,78745
Nelms/Bluff Springs,30.192738000000002,-97.765327,78744
Bluff Springs/William Cannon,30.189427000000002,-97.76787900000001,78744
412 William Cannon/North Bluff,30.191772999999998,-97.774139,78745
110 William Cannon/Circle S,30.192971000000004,-97.777955,78745
6319 Congress/Circle S,30.197391999999997,-97.77690799999999,78745
Little Texas Station (NB),30.202145,-97.775515,78745
5405 Congress/Mockingbird,30.207107,-97.773733,78745
Congress/Alpine,30.228247999999997,-97.76094300000001,78704
2705 Congress/Cumberland,30.235346999999997,-97.75633,78704
2203 Congress/Live Oak,30.241689,-97.752423,78704
1901 Congress/Mary,30.245024,-97.751212,78704
Congress/The Circle,30.251531,-97.748789,78704
611 Congress/Academy,30.255340000000004,-97.74739,78704
Lavaca/12th,30.274408,-97.742995,78701
Capitol Station (NB),30.275586999999998,-97.742558,78701
Lavaca/15th,30.277383,-97.74189399999999,78701
Guadalupe/Dean Keeton,30.289566999999998,-97.741302,78705
31st Street Station (NB),30.297781,-97.741153,78705
Guadalupe/34th,30.300639,-97.739393,78705
Guadalupe/38th,30.302526,-97.738152,78705
Hyde Park Station (NB),30.304418,-97.73695,78751
Guadalupe/41st,30.306234000000003,-97.735787,78751
Guadalupe/43rd,30.3085,-97.73434,78751
4413 Guadalupe/45th,30.31073,-97.73293000000001,78751
Triangle Station (NB),30.314815999999997,-97.732264,78751
5007 Lamar/51st,30.318410999999998,-97.730947,78751
